Date,Close/Last,Volume,Open,High,Low
03/07/2025,575.92,81158820,570.90,577.39,565.63
03/06/2025,572.71,80094870,575.48,580.1736,570.12
03/05/2025,583.06,71230530,576.69,584.88,573.0795
03/04/2025,576.86,109648200,579.71,585.39,572.25
03/03/2025,583.77,74249200,596.18,597.34,579.90
02/28/2025,594.18,88744110,585.56,594.72,582.44
02/27/2025,585.05,74196660,596.85,598.02,584.65
02/26/2025,594.54,43321580,595.93,599.58,591.8556
02/25/2025,594.24,58266470,597.15,597.89,589.56
02/24/2025,597.21,50737210,602.02,603.03,596.49
02/21/2025,599.94,76519820,610.16,610.30,599.47
02/20/2025,610.38,36554000,611.54,611.684,607.02
02/19/2025,612.93,31011070,610.08,613.23,609.56
02/18/2025,611.49,26749030,610.88,611.49,608.38
02/14/2025,609.70,26910450,609.94,610.99,609.07
02/13/2025,609.73,40921300,604.48,609.94,603.20
02/12/2025,603.36,45076080,599.20,604.55,598.51
02/11/2025,605.31,30056740,602.55,605.86,602.43
02/10/2025,604.85,26048710,604.03,605.4999,602.74
02/07/2025,600.77,50788520,606.89,608.13,600.05
02/06/2025,606.32,35771500,605.99,606.4525,602.63
02/05/2025,604.22,30653150,600.64,604.37,598.58
02/04/2025,601.78,33457820,597.83,602.30,597.28
02/03/2025,597.77,65857250,592.67,600.29,590.49
01/31/2025,601.82,66671470,607.50,609.96,601.05
01/30/2025,605.04,39281260,603.96,606.60,600.715
01/29/2025,601.81,37177430,603.72,604.13,599.22
01/28/2025,604.52,44433320,600.62,605.37,597.25
01/27/2025,599.37,70361130,594.81,599.69,594.64
01/24/2025,607.97,34604690,609.81,610.78,606.80
01/23/2025,609.75,41152100,605.80,609.75,605.52
01/22/2025,606.44,48195970,605.92,607.82,605.36
01/21/2025,603.05,42532850,600.67,603.06,598.67
01/17/2025,597.58,58070630,596.96,599.36,595.61
01/16/2025,591.64,43319660,594.175,594.35,590.93
01/15/2025,592.78,56900160,590.325,593.94,589.195
01/14/2025,582.19,48420580,584.36,585.00,578.35
01/13/2025,581.39,47910060,575.77,581.75,575.35
01/10/2025,580.49,73105050,585.88,585.95,578.55
01/08/2025,589.49,47304670,588.70,590.5799,585.195
01/07/2025,588.63,60393050,597.42,597.75,586.78
01/06/2025,595.36,47679440,596.27,599.70,593.60
01/03/2025,591.95,37888460,587.53,592.60,586.43
01/02/2025,584.64,50203980,589.39,591.13,580.50
12/31/2024,586.08,57052650,589.905,590.6399,584.42
12/30/2024,588.22,56578760,587.89,591.74,584.41
12/27/2024,595.01,64969310,597.54,597.7761,590.7647
12/26/2024,601.34,41338890,599.50,602.48,598.0825
12/24/2024,601.30,33160100,596.06,601.34,595.47
12/23/2024,594.69,57635830,590.89,595.30,587.661
12/20/2024,591.15,125716700,581.77,595.75,580.91
12/19/2024,586.10,85919450,591.36,593.00,585.85
12/18/2024,586.28,108248700,603.98,606.405,585.89
12/17/2024,604.29,55773550,604.19,605.17,602.885
12/16/2024,606.79,43695180,606.00,607.7795,605.21
12/13/2024,604.21,35904730,606.40,607.13,602.81
12/12/2024,604.33,31543810,606.58,607.16,604.33
12/11/2024,607.46,28677720,605.78,608.435,605.50
12/10/2024,602.80,37234520,605.37,605.80,602.13
12/09/2024,604.68,34742740,607.69,607.86,604.08
12/06/2024,607.81,31241550,607.44,609.07,607.02
12/05/2024,606.66,28762180,607.66,608.48,606.305
12/04/2024,607.66,42787560,605.63,607.91,604.95
12/03/2024,603.91,26906630,603.39,604.16,602.341
12/02/2024,603.63,31745990,602.97,604.32,602.47
11/29/2024,602.55,30177350,599.66,603.35,599.3805
11/27/2024,598.83,34000160,600.46,600.85,597.28
11/26/2024,600.65,45621290,598.80,601.33,598.07
11/25/2024,597.53,42441390,599.52,600.86,595.20
11/22/2024,595.51,38226390,593.66,596.15,593.1525
11/21/2024,593.67,46750290,593.40,595.12,587.45
11/20/2024,590.50,50032580,590.38,590.79,584.63
11/19/2024,590.30,49412050,584.71,591.045,584.03
11/18/2024,588.15,37084080,586.22,589.49,585.34
11/15/2024,585.75,75988770,589.72,590.20,583.86
11/14/2024,593.35,38904110,597.32,597.81,592.65
11/13/2024,597.19,47388640,597.37,599.23,594.96
11/12/2024,596.90,43006130,598.68,599.29,594.37
11/11/2024,598.76,37586770,599.81,600.17,597.00
11/08/2024,598.19,46444890,596.17,599.64,596.165
11/07/2024,595.61,47233210,593.08,596.65,592.9999
11/06/2024,591.04,68181970,589.20,591.93,585.39
11/05/2024,576.70,39478320,570.74,576.74,570.52
11/04/2024,569.81,38216980,571.18,572.50,567.89
11/01/2024,571.04,45667530,571.32,575.55,570.62
10/31/2024,568.64,60182450,575.56,575.63,568.44
10/30/2024,580.01,41435840,581.29,583.32,579.29
10/29/2024,581.77,42899660,579.85,582.907,578.43
10/28/2024,580.83,30174700,582.58,582.71,580.52
10/25/2024,579.04,47268180,581.51,584.46,578.08
10/24/2024,579.24,34979860,579.98,580.06,576.57
10/23/2024,577.99,49314570,581.26,581.7086,574.415
10/22/2024,583.32,34183840,581.05,584.50,580.38
10/21/2024,583.63,36439010,583.85,584.85,580.6001
10/18/2024,584.59,37416800,584.07,585.39,582.58
10/17/2024,582.35,34393710,585.91,586.12,582.16
10/16/2024,582.30,30725440,579.78,582.83,578.96
10/15/2024,579.78,54203640,584.59,584.90,578.545
10/14/2024,584.32,36217220,581.22,585.27,580.73
10/11/2024,579.58,42267990,576.05,580.33,575.91
10/10/2024,576.13,44138060,575.77,577.58,574.49
10/09/2024,577.14,37912240,573.16,577.71,572.55
10/08/2024,573.17,37398690,570.42,573.78,569.5299
10/07/2024,567.80,49964690,571.30,571.9599,566.63
10/04/2024,572.98,43005190,572.35,573.36,568.10
10/03/2024,567.82,40846470,567.36,569.8025,565.49
10/02/2024,568.86,38097800,567.71,569.90,565.27
10/01/2024,568.62,72668780,573.40,574.0622,566.00
09/30/2024,573.76,63655450,570.42,574.38,568.08
09/27/2024,571.47,42100930,573.39,574.22,570.42
09/26/2024,572.30,48336000,574.38,574.71,569.90
09/25/2024,570.04,38428590,571.14,571.89,568.91
09/24/2024,571.30,46805670,570.48,571.36,567.60
09/23/2024,569.67,44116920,569.34,570.3325,568.10
09/20/2024,568.25,77503110,567.84,569.31,565.17
09/19/2024,570.98,75315470,571.01,572.88,568.08
09/18/2024,561.40,59044940,563.74,568.69,560.83
09/17/2024,563.07,49320970,565.10,566.58,560.795
09/16/2024,562.84,36656120,561.74,563.11,559.90
09/13/2024,562.01,39310500,559.71,563.03,559.45
09/12/2024,559.09,51892740,555.01,559.40,552.74
09/11/2024,554.42,75248610,548.70,555.36,539.96
09/10/2024,548.79,36394580,548.36,549.15,543.38
09/09/2024,546.41,40445820,544.65,547.71,542.68
09/06/2024,540.36,68493810,549.94,551.60,539.44
09/05/2024,549.61,44264260,550.89,553.7995,547.10
09/04/2024,550.95,47224940,550.20,554.43,549.46
09/03/2024,552.08,60600110,560.47,560.81,549.51
08/30/2024,563.68,62700110,560.77,564.20,557.14
08/29/2024,558.35,38715180,560.31,563.68,557.18
08/28/2024,558.30,41066020,561.21,561.65,555.04
08/27/2024,561.56,32693900,559.49,562.06,558.32
08/26/2024,560.79,35788610,563.18,563.91,559.05
08/23/2024,562.13,50639390,559.53,563.09,557.29
08/22/2024,556.22,56121460,562.56,563.18,554.98
08/21/2024,560.62,41514600,559.77,562.11,554.73
08/20/2024,558.70,33732260,559.15,560.84,557.325
08/19/2024,559.61,39121790,554.73,559.61,553.86
08/16/2024,554.31,44430730,551.42,555.02,551.26
08/15/2024,553.07,60846810,549.50,553.36,548.88
08/14/2024,543.75,42446930,542.85,544.96,540.12
08/13/2024,542.04,52333070,536.53,542.28,536.28
08/12/2024,533.27,42542070,534.21,535.73,530.95
08/09/2024,532.99,45619560,529.81,534.51,528.56
08/08/2024,530.65,63276590,523.91,531.29,521.84
08/07/2024,518.66,70698340,528.47,531.59,518.0519
08/06/2024,522.15,84826310,519.22,529.75,517.87
08/05/2024,517.38,146267400,511.64,523.58,510.27
08/02/2024,532.90,82789070,535.75,536.99,528.60
08/01/2024,543.01,76428730,552.57,554.8688,539.43
07/31/2024,550.81,65663390,548.98,553.50,547.5799
07/30/2024,542.00,46853630,546.26,547.34,538.515
07/29/2024,544.76,39515820,546.02,547.05,542.72
07/26/2024,544.44,53763790,542.28,547.19,541.49
07/25/2024,538.41,61158290,541.35,547.455,537.45
07/24/2024,541.23,74515270,548.86,549.17,540.29
07/23/2024,553.78,34439560,554.54,556.735,553.275
07/22/2024,554.65,43346720,553.00,555.27,551.02
07/19/2024,548.99,65509080,552.42,554.08,547.91
07/18/2024,552.66,56270390,558.51,559.52,550.43
07/17/2024,556.94,57118960,558.80,560.51,556.61
07/16/2024,564.86,36475260,562.865,565.16,562.10
07/15/2024,561.53,40584290,562.03,564.8371,559.63
07/12/2024,559.99,53084410,557.63,563.67,557.15
07/11/2024,556.48,53054180,561.44,562.33,555.83
07/10/2024,561.32,38701220,557.07,561.67,556.77
07/09/2024,555.82,27314130,556.26,557.18,555.52
07/08/2024,555.28,36110450,555.44,556.2501,554.19
07/05/2024,554.64,41488390,551.77,555.05,551.12
07/03/2024,551.46,32789910,548.69,551.83,548.65
07/02/2024,549.01,40434790,543.70,549.01,543.65
07/01/2024,545.34,40297810,545.63,545.88,542.52
06/28/2024,544.22,76144540,547.16,550.28,542.95
06/27/2024,546.37,35041480,545.37,546.96,544.61
06/26/2024,545.51,38550640,543.69,546.24,543.03
06/25/2024,544.83,38273350,543.99,545.20,542.44
06/24/2024,542.74,45528650,544.33,546.95,542.62
06/21/2024,544.51,64513860,544.40,545.65,543.02
06/20/2024,547.00,70328230,549.44,550.12,545.18
06/18/2024,548.49,41376420,547.16,548.62,546.73
06/17/2024,547.10,55839460,542.08,548.53,541.6072
06/14/2024,542.78,40089900,540.88,542.81,539.85
06/13/2024,542.45,44760950,543.15,543.325,539.59
06/12/2024,541.36,63251310,541.63,544.12,540.30
06/11/2024,536.95,36383410,534.07,537.01,532.05
06/10/2024,535.66,35729250,533.18,535.99,532.57
06/07/2024,534.01,43224530,533.66,536.89,532.535
06/06/2024,534.66,30808530,534.98,535.42,532.68
06/05/2024,534.67,47610370,530.77,534.69,528.7254
06/04/2024,528.39,34632660,526.46,529.15,524.96
06/03/2024,527.80,46835700,529.02,529.31,522.60
05/31/2024,527.37,90785760,523.59,527.50,518.36
05/30/2024,522.61,46468510,524.52,525.20,521.33
05/29/2024,526.10,45190320,525.68,527.31,525.37
05/28/2024,529.81,36269600,530.27,530.51,527.11
05/24/2024,529.44,41291080,527.85,530.27,526.881
05/23/2024,525.96,57211200,532.96,533.07,524.72
05/22/2024,529.83,48389970,530.65,531.38,527.60
05/21/2024,531.36,33437000,529.28,531.52,529.07
05/20/2024,530.06,37764210,529.57,531.5601,529.17
05/17/2024,529.45,59187590,528.81,529.52,527.32
05/16/2024,528.69,50244830,529.88,531.5218,528.54
05/15/2024,529.78,59504900,525.83,530.08,525.18
05/14/2024,523.30,57535870,521.11,523.83,520.56
05/13/2024,520.91,36716360,522.56,522.67,519.74
05/10/2024,520.84,52233170,521.81,522.635,519.59
05/09/2024,520.17,43643670,517.38,520.2074,516.705
05/08/2024,517.19,42047210,515.26,517.74,515.14
05/07/2024,517.14,52561300,517.56,518.57,516.45
05/06/2024,516.57,47264700,513.75,516.61,513.30
05/03/2024,511.29,72756710,511.16,512.55,508.56
05/02/2024,505.03,62550180,504.15,505.89,499.55
05/01/2024,500.35,80242840,501.38,508.19,499.865
04/30/2024,501.98,77483570,508.56,509.56,501.98
04/29/2024,510.06,46415450,510.09,510.75,507.25
04/26/2024,508.26,64306120,506.35,509.88,505.70
04/25/2024,503.49,69122370,499.18,504.27,497.49
04/24/2024,505.41,55928080,506.56,507.37,503.13
04/23/2024,505.65,64633620,501.78,506.09,499.5328
04/22/2024,499.72,67961050,497.83,502.38,495.43
04/19/2024,495.16,102212600,499.44,500.455,493.86
04/18/2024,499.52,74548090,501.98,504.13,498.56
04/17/2024,500.55,75910310,506.05,506.22,499.12
04/16/2024,503.53,73484020,504.94,506.50,502.21
04/15/2024,504.45,92101450,515.13,515.30,503.58
04/12/2024,510.85,92561090,514.37,515.815,509.08
04/11/2024,518.00,70099010,515.68,519.48,512.08
04/10/2024,514.12,82652810,513.48,516.16,512.09
04/09/2024,519.32,68124390,520.50,520.75,514.35
04/08/2024,518.72,48401750,519.15,520.18,517.89
04/05/2024,518.43,74546480,514.46,520.44,514.01
04/04/2024,513.07,96858070,523.52,523.8674,512.755
04/03/2024,519.41,59155760,517.72,520.95,517.665
04/02/2024,518.84,74230310,518.24,518.98,516.48
04/01/2024,522.16,62477540,523.83,524.38,520.97
03/28/2024,523.07,96294890,523.21,524.61,522.78
03/27/2024,523.17,82999780,521.71,523.21,519.485
03/26/2024,518.81,65463740,521.23,521.58,518.40
03/25/2024,519.77,48512110,519.80,520.95,519.61
03/22/2024,521.21,79070840,522.11,522.605,520.97
03/21/2024,522.20,60256110,523.39,524.11,521.91
03/20/2024,520.48,69594570,515.77,520.62,515.08
03/19/2024,515.71,60755260,512.15,515.995,511.12
03/18/2024,512.86,88893330,514.00,515.48,512.44
03/15/2024,509.83,107646300,510.21,511.70,508.122
03/14/2024,514.95,110171800,516.97,517.125,511.82
03/13/2024,515.97,55104090,517.11,517.29,514.49
03/12/2024,516.78,73114440,513.45,517.38,510.86
03/11/2024,511.28,62557180,510.48,511.88,508.50
03/08/2024,511.72,86532540,515.46,518.2201,511.13
03/07/2024,514.81,58652090,513.14,515.89,509.8053
03/06/2024,509.75,68382370,510.55,512.069,508.42
03/05/2024,507.18,72855620,510.24,510.70,504.91
03/04/2024,512.30,49799260,512.03,514.20,512.00
03/01/2024,512.85,76844840,508.98,513.29,508.56
02/29/2024,508.08,83924800,508.07,509.74,505.35
02/28/2024,506.26,56506630,505.33,506.855,504.96
02/27/2024,506.93,48854530,506.70,507.16,504.75
02/26/2024,505.99,50386740,508.30,508.75,505.86
02/23/2024,507.85,61321820,509.27,510.13,507.10
02/22/2024,507.50,76402540,504.01,508.49,503.02
02/21/2024,497.21,59603770,495.42,497.37,493.56
02/20/2024,496.76,71736740,497.72,498.41,494.45
02/16/2024,499.51,75532930,501.70,502.87,498.75
02/15/2024,502.01,61682960,499.29,502.20,498.795
02/14/2024,498.57,68387830,496.79,499.07,494.40
02/13/2024,494.08,113099200,494.53,497.09,490.715
02/12/2024,500.98,56502280,501.17,503.50,500.24
02/09/2024,501.20,63979380,498.84,501.65,498.49
02/08/2024,498.32,52343640,498.10,498.71,497.26
02/07/2024,498.10,70556510,496.29,498.53,495.36
02/06/2024,493.98,55918600,493.52,494.32,492.05
02/05/2024,492.55,75757100,493.695,494.3778,490.23
02/02/2024,494.35,99228190,489.65,496.05,489.30
02/01/2024,489.20,91891640,484.63,489.23,483.80
01/31/2024,482.88,126011100,488.62,489.0813,482.86
01/30/2024,490.89,58618390,490.56,491.62,490.11
01/29/2024,491.27,61322750,487.73,491.415,487.17
01/26/2024,487.41,76641610,487.59,489.12,486.54
01/25/2024,488.03,72524990,487.575,488.305,485.39
01/24/2024,485.39,81765040,487.81,488.77,484.8819
01/23/2024,484.86,49945300,484.01,485.105,482.89
01/22/2024,483.45,75844930,484.01,485.22,482.78
01/19/2024,482.43,110834500,477.65,482.72,476.5374
01/18/2024,476.49,91856250,474.01,477.06,472.42
01/17/2024,472.29,68843870,471.82,472.79,469.87
01/16/2024,474.93,85014870,475.26,476.6098,473.06
01/12/2024,476.68,58026420,477.84,478.60,475.23
01/11/2024,476.35,77940720,477.59,478.12,472.26
01/10/2024,476.56,67310640,474.16,477.4481,473.87
01/09/2024,473.88,65931440,471.87,474.93,471.35
01/08/2024,474.60,74879070,468.43,474.75,468.30
01/05/2024,467.92,86118910,467.49,470.44,466.43
01/04/2024,467.28,84232170,468.30,470.96,467.05
01/03/2024,468.79,103585900,470.43,471.19,468.17
01/02/2024,472.65,123007800,472.16,473.67,470.49
12/29/2023,475.31,122283100,476.49,477.03,473.30
12/28/2023,476.69,77158120,476.88,477.55,476.26
12/27/2023,476.51,68000310,475.44,476.66,474.89
12/26/2023,475.65,55386950,474.07,476.58,473.99
12/22/2023,473.65,67160420,473.86,475.38,471.70
12/21/2023,472.70,86667470,471.33,472.975,468.84
12/20/2023,468.26,102921000,473.96,475.895,467.82
12/19/2023,474.84,55761810,472.53,474.92,472.45
12/18/2023,471.97,70375290,470.98,472.98,469.8929
12/15/2023,469.33,141553700,469.49,470.70,467.4263
12/14/2023,472.01,119026000,472.50,473.73,469.25
12/13/2023,470.50,93277960,464.49,470.7599,464.12
12/12/2023,464.10,68327620,461.63,464.20,460.60
12/11/2023,461.99,65002250,459.69,462.17,459.47
12/08/2023,460.20,83194400,457.46,460.745,457.21
12/07/2023,458.23,66995450,456.91,458.90,456.29
12/06/2023,454.76,69124690,458.81,458.84,454.31
12/05/2023,456.60,69793470,455.26,457.59,454.87
12/04/2023,456.69,72430890,455.60,459.1206,454.34
12/01/2023,459.10,89183400,455.77,459.65,455.16
11/30/2023,456.40,79752700,455.48,456.76,453.34
11/29/2023,454.61,63145990,457.15,458.32,454.20
11/28/2023,454.93,62115010,454.08,456.27,453.50
11/27/2023,454.48,50505990,454.65,455.4901,454.0799
11/24/2023,455.30,29737380,455.07,455.50,454.73
11/22/2023,455.02,59446570,454.98,456.38,453.8895
11/21/2023,453.27,49244640,453.1842,454.131,451.9599
11/20/2023,454.26,70055630,450.53,455.125,450.52
11/17/2023,450.79,83193900,450.24,451.42,449.29
11/16/2023,450.23,66665800,449.22,450.56,448.12
11/15/2023,449.68,77327570,450.11,451.38,448.80
11/14/2023,448.73,97176940,446.32,450.06,446.09
11/13/2023,440.19,52236070,439.23,441.33,438.42
11/10/2023,440.61,89558050,435.98,440.93,433.8335
11/09/2023,433.84,83174420,438.43,438.47,433.40
11/08/2023,437.25,61746030,437.55,438.09,434.87
11/07/2023,436.93,64256110,435.69,437.585,434.51
11/06/2023,435.69,67831660,435.47,436.1498,433.68
11/03/2023,434.69,100167800,433.14,436.29,433.01
11/02/2023,430.76,94938910,426.58,430.915,426.56
11/01/2023,422.66,98068120,419.20,423.50,418.6499
10/31/2023,418.20,79665150,416.18,418.53,414.21
10/30/2023,415.59,86562680,413.56,416.68,412.22
10/27/2023,410.68,107367700,414.19,414.60,409.21
10/26/2023,412.55,115156800,416.45,417.325,411.60
10/25/2023,417.55,94223200,421.89,421.92,417.015
10/24/2023,423.63,78564240,422.65,424.82,420.74
10/23/2023,420.46,92035100,419.61,424.45,417.80
10/20/2023,421.19,123919900,425.98,426.54,421.08
10/19/2023,426.43,121323000,430.95,432.82,425.725
10/18/2023,430.21,93559800,434.19,435.18,429.09
10/17/2023,436.02,75324710,432.81,438.14,432.45
10/16/2023,436.04,75433190,433.82,437.14,433.57
10/13/2023,431.50,95201130,435.21,436.45,429.88
10/12/2023,433.66,81154230,436.95,437.335,431.23
10/11/2023,436.32,62451740,435.64,436.58,433.18
10/10/2023,434.54,78607270,432.94,437.22,432.53
10/09/2023,432.29,80374360,427.58,432.88,427.0101
10/06/2023,429.54,113273300,421.97,431.125,420.60
10/05/2023,424.50,70142740,424.36,425.37,421.1701
10/04/2023,424.66,87452970,422.07,425.4299,420.56
10/03/2023,421.59,103760600,425.06,427.3729,420.18
10/02/2023,427.31,83798600,426.62,428.60,424.46
09/29/2023,427.48,115111300,431.67,431.85,425.91
09/28/2023,428.52,92258310,425.48,430.2499,424.87
09/27/2023,426.05,104705800,427.09,427.67,422.29
09/26/2023,425.88,96168440,429.09,429.82,425.02
09/25/2023,432.23,70874530,429.17,432.27,428.72
09/22/2023,430.42,100829700,432.45,434.10,429.99
09/21/2023,431.39,104095800,435.70,435.97,431.23
09/20/2023,438.64,82562600,444.01,444.435,438.43
09/19/2023,442.71,66514650,442.68,443.29,439.94
09/18/2023,443.63,55752210,443.05,444.97,442.56
09/15/2023,443.37,111848900,447.14,447.48,442.92
09/14/2023,450.36,83430810,449.07,451.08,447.715
09/13/2023,446.51,60199270,446.22,447.71,445.0793
09/12/2023,445.99,67565420,446.95,448.53,445.39
09/11/2023,448.45,60180120,448.24,448.77,446.4699
09/08/2023,445.52,62068440,444.90,447.11,444.53
09/07/2023,444.85,70355430,443.11,445.55,442.75
09/06/2023,446.22,70758510,448.40,448.51,443.81
09/05/2023,449.24,55166210,450.73,451.06,449.17
09/01/2023,451.19,58944100,453.17,453.67,449.68
08/31/2023,450.35,66084560,451.65,452.83,450.16
08/30/2023,451.01,69053910,449.51,451.67,448.78
08/29/2023,449.16,83081920,442.65,449.45,442.46
08/28/2023,442.76,61595390,442.24,443.40,439.9728
08/25/2023,439.97,102325100,438.68,441.30,435.00
08/24/2023,436.89,88517270,444.69,445.22,436.855
08/23/2023,443.03,68441020,439.25,443.67,439.10
08/22/2023,438.15,65062860,441.18,441.18,437.57
08/21/2023,439.34,68718960,437.55,440.11,435.32
08/18/2023,436.50,98851960,433.37,437.57,433.01
08/17/2023,436.29,95711320,441.16,441.43,435.75
08/16/2023,439.64,80107210,442.46,444.18,439.53
08/15/2023,442.89,75707530,446.27,446.64,442.30
08/14/2023,448.11,47867440,444.70,448.11,444.38
08/11/2023,445.65,68690900,443.97,446.7007,443.345
08/10/2023,445.91,93005500,448.19,451.70,444.70
08/09/2023,445.75,78789580,449.03,449.1999,444.96
08/08/2023,448.75,71361320,448.08,450.6952,445.2705
08/07/2023,450.71,58357460,448.71,450.865,447.99
08/04/2023,446.81,100128900,450.72,452.895,446.27
08/03/2023,448.84,64419690,448.04,450.79,447.37
08/02/2023,450.13,93933370,453.25,453.52,449.3499
08/01/2023,456.48,55502200,456.27,457.25,455.49
07/31/2023,457.79,62040450,457.41,458.16,456.045
07/28/2023,456.92,80011790,455.88,457.78,452.4918
07/27/2023,452.49,92194380,459.02,459.44,451.55
07/26/2023,455.51,71052890,454.47,456.99,453.38
07/25/2023,455.44,55191240,453.92,456.735,453.87
07/24/2023,454.20,54023380,453.37,455.04,452.298
07/21/2023,452.18,71275620,453.96,454.165,452.17
07/20/2023,452.18,70591640,454.17,455.10,451.44
07/19/2023,455.20,65891690,455.01,456.43,454.1119
07/18/2023,454.19,80744450,450.50,454.86,450.0484
07/17/2023,450.84,52680220,449.13,451.93,449.08
07/14/2023,449.28,69815820,450.475,451.36,448.49
07/13/2023,449.56,72425240,447.90,450.38,447.45
07/12/2023,446.02,91924530,446.39,447.4799,444.91
07/11/2023,442.46,64463750,440.45,442.97,439.44
07/10/2023,439.66,62443500,438.18,439.84,437.585
07/07/2023,438.55,86134180,438.63,442.64,438.30
07/06/2023,439.66,80658300,439.42,440.10,437.06
07/05/2023,443.13,58418430,441.91,443.889,441.90
07/03/2023,443.79,32793380,442.92,444.08,442.63
06/30/2023,443.28,104964000,441.44,444.30,441.11
06/29/2023,438.11,67882300,435.96,438.28,435.54
06/28/2023,436.39,75635980,435.05,437.44,434.41
06/27/2023,436.17,72813700,432.35,436.81,431.88
06/26/2023,431.44,72823560,432.62,434.61,431.19
06/23/2023,433.21,92074540,432.93,435.06,432.47
06/22/2023,436.51,70637180,433.95,436.62,433.60
06/21/2023,434.94,76982250,436.16,436.99,434.33
06/20/2023,437.18,76160360,437.45,438.37,435.03
06/16/2023,439.46,114165800,443.02,443.6078,438.97
06/15/2023,442.60,110303100,436.33,443.90,436.23
06/14/2023,437.18,100612100,437.01,439.0612,433.59
06/13/2023,436.66,95899700,435.32,437.33,434.63
06/12/2023,433.80,76256700,430.92,433.88,430.17
06/09/2023,429.90,85647270,429.96,431.99,428.87
06/08/2023,429.13,61952840,426.62,429.60,425.82
06/07/2023,426.55,85373280,428.44,429.62,426.11
06/06/2023,428.03,64022180,426.67,428.5772,425.99
06/05/2023,427.10,65460160,428.28,429.62,426.37
06/02/2023,427.92,91426170,424.50,428.74,423.95
06/01/2023,421.82,88865020,418.09,422.92,416.79
05/31/2023,417.85,110811800,418.28,419.22,416.22
05/30/2023,420.18,72215960,422.03,422.58,418.735
05/26/2023,420.02,93829980,415.33,420.77,415.25
05/25/2023,414.65,90961610,414.74,416.16,412.4101
05/24/2023,411.09,89213680,412.42,412.82,409.8795
05/23/2023,414.09,86383490,417.08,418.722,413.68
05/22/2023,418.79,60745400,418.64,420.39,417.35
05/19/2023,418.62,103793300,420.17,420.72,417.35
05/18/2023,419.23,97177200,414.90,419.67,414.67
05/17/2023,415.23,87286960,412.35,415.855,410.635
05/16/2023,410.25,57705500,411.86,412.815,410.24
05/15/2023,413.01,54289380,412.22,413.43,410.23
